frame_number, top, right, bottom, left, height, width
00002, 92, 865, 233, 724, 141, 141
00003, 97, 850, 215, 733, 118, 117
00004, 92, 851, 233, 709, 141, 142
00005, 92, 851, 233, 709, 141, 142
00006, 97, 839, 215, 721, 118, 118
00007, 97, 850, 215, 733, 118, 117
00008, 85, 839, 203, 721, 118, 118
00009, 97, 839, 215, 721, 118, 118
00010, 85, 839, 203, 721, 118, 118
00011, 85, 827, 203, 709, 118, 118
00012, 97, 827, 215, 709, 118, 118
00013, 97, 815, 215, 697, 118, 118
00014, 109, 815, 227, 697, 118, 118
00015, 109, 803, 227, 685, 118, 118
00016, 92, 808, 233, 666, 141, 142
00017, 97, 779, 215, 661, 118, 118
00018, 109, 779, 227, 661, 118, 118
00019, 121, 767, 239, 649, 118, 118
00020, 92, 765, 233, 623, 141, 142
00021, 121, 755, 239, 637, 118, 118
00022, 121, 743, 239, 625, 118, 118
00023, 121, 731, 239, 613, 118, 118
00024, 133, 731, 251, 613, 118, 118
00025, 133, 719, 251, 601, 118, 118
00026, 145, 719, 263, 601, 118, 118
00027, 145, 707, 263, 589, 118, 118
00028, 145, 707, 263, 589, 118, 118
00029, 133, 707, 251, 589, 118, 118
00030, 133, 695, 251, 577, 118, 118
00031, 133, 695, 251, 577, 118, 118
00032, 121, 695, 239, 577, 118, 118
00033, 106, 693, 248, 552, 142, 141
00034, 106, 693, 248, 552, 142, 141
00035, 121, 695, 239, 577, 118, 118
00036, 109, 683, 227, 565, 118, 118
00037, 109, 683, 227, 565, 118, 118
00038, 109, 683, 227, 565, 118, 118
00039, 92, 693, 233, 552, 141, 141
00040, 92, 693, 233, 552, 141, 141
00041, 109, 683, 227, 565, 118, 118
00042, 97, 683, 215, 565, 118, 118
00043, 97, 683, 215, 565, 118, 118
00044, 97, 683, 215, 565, 118, 118
00045, 97, 683, 215, 565, 118, 118
00046, 97, 683, 215, 565, 118, 118
00047, 97, 683, 215, 565, 118, 118
00048, 97, 683, 215, 565, 118, 118
00049, 97, 683, 215, 565, 118, 118
00050, 85, 671, 203, 553, 118, 118
00051, 97, 671, 215, 553, 118, 118
00052, 97, 671, 215, 553, 118, 118
00053, 97, 671, 215, 553, 118, 118
00054, 77, 664, 219, 523, 142, 141
00055, 77, 664, 219, 523, 142, 141
00056, 97, 659, 215, 541, 118, 118
00057, 77, 664, 219, 523, 142, 141
00058, 77, 664, 219, 523, 142, 141
00059, 97, 647, 215, 530, 118, 117
00060, 97, 647, 215, 530, 118, 117
00061, 97, 647, 215, 530, 118, 117
00062, 97, 647, 215, 530, 118, 117
00063, 97, 647, 215, 530, 118, 117
00064, 97, 647, 215, 530, 118, 117
00065, 97, 647, 215, 530, 118, 117
00066, 97, 647, 215, 530, 118, 117
00067, 97, 647, 215, 530, 118, 117
00068, 97, 647, 215, 530, 118, 117
00069, 97, 647, 215, 530, 118, 117
00070, 77, 664, 219, 523, 142, 141
00071, 77, 664, 219, 523, 142, 141
00072, 77, 664, 219, 523, 142, 141
00073, 97, 659, 215, 541, 118, 118
00074, 77, 664, 219, 523, 142, 141
00075, 97, 659, 215, 541, 118, 118
00076, 97, 659, 215, 541, 118, 118
00077, 77, 679, 219, 537, 142, 142
00078, 77, 679, 219, 537, 142, 142
00079, 77, 679, 219, 537, 142, 142
00080, 77, 679, 219, 537, 142, 142
00081, 77, 679, 219, 537, 142, 142
00082, 77, 679, 219, 537, 142, 142
00083, 77, 679, 219, 537, 142, 142
00084, 92, 679, 233, 537, 141, 142
00085, 109, 671, 227, 553, 118, 118
00086, 92, 679, 233, 537, 141, 142
00087, 92, 679, 233, 537, 141, 142
00088, 109, 659, 227, 541, 118, 118
00089, 109, 659, 227, 541, 118, 118
00090, 109, 671, 227, 553, 118, 118
00091, 77, 679, 219, 537, 142, 142
00092, 77, 679, 219, 537, 142, 142
00093, 97, 683, 215, 565, 118, 118
00094, 121, 683, 239, 565, 118, 118
00095, 121, 683, 239, 565, 118, 118
00096, 106, 693, 248, 552, 142, 141
00097, 120, 693, 262, 552, 142, 141
00098, 106, 707, 248, 566, 142, 141
00100, 92, 707, 233, 566, 141, 141
00101, 106, 707, 248, 566, 142, 141
00102, 109, 707, 227, 589, 118, 118
